## ACME Wholesales
## prepared from SalesForce on 03/01/2019
##
## Columns:
## orderno:     order number (not unique as orders can have more than 1 line)
## orderdate:   order purchase date, Dutch format
## empno:       sales person number
## name:        sales person name
## custno:      customer number
## city:        city of customer
## regioncode:  region of customer
## prodno:      identifying number of sold product
## proddesc:    product description
## catdesc:     product category
## quantity     quantity product sold
## linetotal    order line value
##
orderno;orderdate;empno;name;custno;city;regioncode;prodno;proddesc;catdesc;quantity;linetotal
1001;06/01/2017;805;Harrie;15;Veghel;GVGH;408;Fruit Yogurt Mango;Dairy Products;9;146,25
1004;14/01/2017;806;Karel;19;Veghel;GVGH;406;Foie Gras;Luxury Products;7;52,50
1014;27/01/2017;806;Karel;19;Veghel;GVGH;401;Organic Soymilk Sweetened;Organic Products;22;473,00
1014;27/01/2017;806;Karel;19;Veghel;GVGH;405;Sweetbread;Luxury Products;9;80,55
1014;27/01/2017;806;Karel;19;Veghel;GVGH;409;Low-Fat Quark;Dairy Products;23;373,75
1016;04/02/2017;805;Harrie;19;Veghel;GVGH;409;Low-Fat Quark;Dairy Products;6;97,50
1017;04/02/2017;804;Bertha;14;Erp;GVGH;404;Organic Soymilk;Organic Products;18;207,00
1017;04/02/2017;804;Bertha;14;Erp;GVGH;405;Sweetbread;Luxury Products;14;125,30
1019;05/02/2017;805;Harrie;15;Veghel;GVGH;409;Low-Fat Quark;Dairy Products;10;162,50
1023;10/02/2017;801;Herman;19;Veghel;GVGH;401;Organic Soymilk Sweetened;Organic Products;8;172,00
1027;15/02/2017;806;Karel;14;Erp;GVGH;409;Low-Fat Quark;Dairy Products;21;341,25
1031;27/02/2017;805;Harrie;15;Veghel;GVGH;401;Organic Soymilk Sweetened;Organic Products;11;236,50
1031;27/02/2017;805;Harrie;15;Veghel;GVGH;404;Organic Soymilk;Organic Products;18;207,00
1031;27/02/2017;805;Harrie;15;Veghel;GVGH;409;Low-Fat Quark;Dairy Products;21;341,25
1035;06/03/2017;804;Bertha;15;Veghel;GVGH;410;Full Yogurt;Dairy Products;14;294,00
1036;09/03/2017;804;Bertha;14;Erp;GVGH;402;Organic Soy Custard;Organic Products;16;623,20
1037;09/03/2017;802;Klaas;15;Veghel;GVGH;410;Full Yogurt;Dairy Products;9;189,00
1045;20/03/2017;801;Herman;14;Erp;GVGH;408;Fruit Yogurt Mango;Dairy Products;11;178,75
1050;30/03/2017;801;Herman;15;Veghel;GVGH;402;Organic Soy Custard;Organic Products;16;623,20
1053;06/04/2017;806;Karel;19;Veghel;GVGH;406;Foie Gras;Luxury Products;15;112,50
1054;09/04/2017;802;Klaas;19;Veghel;GVGH;402;Organic Soy Custard;Organic Products;4;155,80
1060;21/04/2017;802;Klaas;15;Veghel;GVGH;405;Sweetbread;Luxury Products;15;134,25
1064;10/05/2017;806;Karel;14;Erp;GVGH;406;Foie Gras;Luxury Products;17;127,50
1064;10/05/2017;806;Karel;14;Erp;GVGH;408;Fruit Yogurt Mango;Dairy Products;32;520,00
1064;10/05/2017;806;Karel;14;Erp;GVGH;409;Low-Fat Quark;Dairy Products;13;211,25
1076;13/06/2017;801;Herman;14;Erp;GVGH;408;Fruit Yogurt Mango;Dairy Products;12;195,00
1077;13/06/2017;803;Gerda;15;Veghel;GVGH;411;Fruit Yogurt Strawberry;Dairy Products;15;299,25
1079;17/06/2017;802;Klaas;19;Veghel;GVGH;406;Foie Gras;Luxury Products;11;82,50
1080;22/06/2017;801;Herman;14;Erp;GVGH;405;Sweetbread;Luxury Products;22;196,90
1081;22/06/2017;803;Gerda;14;Erp;GVGH;405;Sweetbread;Luxury Products;5;44,75
